date,equity
2024-08-31,10000.0
2024-09-01,10000.0
2024-09-02,10000.0
2024-09-03,10000.0
2024-09-04,10000.0
2024-09-05,10000.0
2024-09-06,10000.0
2024-09-07,10000.0
2024-09-08,10000.0
2024-09-09,10000.0
2024-09-10,10000.0
2024-09-11,9985.752373813093
2024-09-12,10115.545632429492
2024-09-13,10520.286785806587
2024-09-14,10426.535100192508
2024-09-15,10290.37581868548
2024-09-16,10126.390898209536
2024-09-17,10476.777005092907
2024-09-18,10698.851722740332
2024-09-19,10912.586963337473
2024-09-20,10954.400776562918
2024-09-21,10987.826601082234
2024-09-22,11029.864214746627
2024-09-23,10977.057013485302
2024-09-24,11138.034858121115
2024-09-25,10946.149267315226
2024-09-26,11283.593758064097
2024-09-27,11384.542632938901
2024-09-28,11400.601931488847
2024-09-29,11358.81722525691
2024-09-30,10977.007208185305
2024-10-01,10549.178630853587
2024-10-02,10549.178630853587
2024-10-03,10549.178630853587
2024-10-04,10549.178630853587
2024-10-05,10549.178630853587
2024-10-06,10549.178630853587
2024-10-07,10549.178630853587
2024-10-08,10549.178630853587
2024-10-09,10549.178630853587
2024-10-10,10549.178630853587
2024-10-11,10549.178630853587
2024-10-12,10549.178630853587
2024-10-13,10549.178630853587
2024-10-14,10534.148555482458
2024-10-15,10685.050236327565
2024-10-16,10771.741864499438
2024-10-17,10739.455554245284
2024-10-18,10893.992392338723
2024-10-19,10885.49100600992
2024-10-20,10982.398516122828
2024-10-21,10734.604728373492
2024-10-22,10733.627217053454
2024-10-23,10592.700891121543
2024-10-24,10854.903788159321
2024-10-25,10624.583163363413
2024-10-26,10665.80388850418
2024-10-27,10665.80388850418
2024-10-28,10650.607649825553
2024-10-29,11058.084982106278
2024-10-30,11002.896776465992
2024-10-31,10695.144606475218
2024-11-01,10588.996552035464
2024-11-02,10561.00858728261
2024-11-03,10466.66519171266
2024-11-04,10466.66519171266
2024-11-05,10466.66519171266
2024-11-06,10451.752678405159
2024-11-07,10486.674183800598
2024-11-08,10570.846097995794
2024-11-09,10601.51173738978
2024-11-10,11087.046921797422
2024-11-11,12168.04715115969
2024-11-12,12070.071901189876
2024-11-13,12415.416026371595
2024-11-14,11977.390307990323
2024-11-15,12478.726395765161
2024-11-16,12412.040896749602
