entry_time,exit_time,entry_price,exit_price,direction,size,pnl,pnl_pct,duration
2024-09-02,2024-09-03,2539.4563494873046,2419.3934578857425,long,3.74095817867394,-449.1502562921065,-4.727897434653753,1 days
2024-09-11,2024-10-02,2341.0114735107422,2364.0490736083984,long,3.86827832829262,89.1158491936354,0.984087449307005,21 days
2024-10-14,2024-10-24,2630.214352294922,2533.231285888672,long,3.4685589554628957,-336.39148351165005,-3.6872685422627156,10 days
2024-10-30,2024-10-31,2658.7012448730466,2514.541416748047,long,3.3047968154444436,-476.4189409025164,-5.422189815534655,1 days
2024-11-07,2024-11-20,2897.0332419433594,3070.6518942871094,long,2.8710846678989834,498.47385080542455,5.992981020379484,13 days
2024-11-21,2024-12-10,3362.734482055664,3630.017823364258,long,2.60945396836852,697.4635756565084,7.948392676700477,19 days
2025-01-03,2025-01-09,3606.812270507812,3217.820948730469,long,2.61176785126293,-1015.9550286383388,-10.78490624416602,6 days
2025-01-17,2025-01-19,3475.844231323242,3207.359873291016,long,2.427630628740074,-651.7808508966486,-7.72429200401812,2 days
2025-01-21,2025-01-27,3329.0699531249998,3177.330949951172,long,2.344036347923393,-355.6817388371154,-4.557999841108484,6 days
2025-01-31,2025-02-01,3299.914269287109,3116.7694489746095,long,2.2579600670712643,-413.53369075656633,-5.54998722291246,1 days
2025-02-14,2025-02-26,2727.454598510742,2330.2869104003908,long,2.582794029868631,-1025.8023337081418,-14.561844157817132,12 days
2025-03-17,2025-04-06,1927.9664311523436,1575.9396633300782,long,3.141927779200404,-1106.0426808429065,-18.258967694362777,20 days
2025-04-14,2025-05-23,1623.581282409668,2525.1786735839846,long,3.07735265602963,2774.533126399669,55.5313984549141,39 days
2025-06-11,2025-06-12,2774.9160615234373,2650.4692684326174,long,2.7460325412522018,-341.7349434818712,-4.484704774186873,1 days
2025-06-30,2025-07-01,2487.707587646484,2404.5898282470703,long,2.926874634946857,-243.27526169976025,-3.3411386375216274,1 days
2025-07-02,2025-07-30,2572.621116943359,3806.297559326172,long,2.735145687927953,3374.284801681649,47.954066545508134,28 days
2025-08-09,2025-08-19,4265.730920654297,4071.427379272461,long,2.397124759663385,-465.76982993667735,-4.554988230528908,10 days
2025-08-23,2025-08-25,4778.478377197265,4370.8012990722655,long,2.0433328667885466,-833.019972769134,-8.531525015796259,2 days
2025-09-12,2025-09-19,4717.603716796874,4468.681533691407,long,1.8981867092131595,-472.5007795991227,-5.276453853450811,7 days
2025-10-02,2025-10-10,4490.167790039062,3841.087284667969,long,1.8906757855310274,-1227.200794365368,-14.455595775529954,8 days
2025-10-26,2025-11-03,4160.068252441406,3600.506951416016,long,1.7568573875057771,-983.0694054688006,-13.450772128486166,8 days
2025-11-25,2025-12-17,2959.4152474365233,2829.9878626708987,long,2.1496740612730605,-278.22669184907113,-4.3734107566599825,22 days
2025-12-22,2025-12-25,3007.576767333984,2902.1278000488282,long,2.023436222669367,-213.36926004786164,-3.506110581464207,3 days
2025-12-27,2026-01-20,2949.4722901611326,2934.1379100341796,long,1.9907218593817044,-30.526485718793662,-0.5199024984267688,24 days
2026-02-14,2026-03-26,2087.0527705078125,2058.5485799560547,long,2.7941084589571337,-79.64379993639248,-1.3657628093813021,40 days
2026-04-05,2026-04-24,2110.050103271484,2314.532340454102,long,2.7225827882990012,556.7198194662687,9.690871172470374,19 days
2026-06-14,2026-06-27,1725.4755878906249,1570.8024627075197,long,3.6292753074284687,-561.3513539498362,-8.964086554953315,13 days
2026-06-29,2026-07-27,1611.0109134521483,1961.588661315918,long,3.549061750729641,1244.222075600245,21.761351517634075,28 days
