period,z_threshold,total_return,sharpe_ratio,sortino_ratio,max_drawdown,win_rate,profit_factor,total_trades,calmar_ratio
20,2.0,7.71761626648622,0.13213129097589218,0.08884138156757787,-33.2816978618535,76.92307692307693,1.2670229844562773,13,0.11402771631332421
20,1.5,6.065330191947614,0.11748995961910692,0.09537944879812568,-42.23426755693301,83.33333333333334,1.1595559826037545,18,0.07089652978802695
20,1.0,-5.535993263160107,-0.040348281455726664,-0.03573214741080143,-42.36002591740623,82.6086956521739,0.9973148411874264,23,-0.06640927839152991
50,2.5,-3.8098847222530097,-0.057762569687788166,-0.03684897546337365,-22.46608853976373,50.0,0.7009656510408157,4,-0.0857897352195673
30,1.0,-8.277939838591264,-0.0791504630882687,-0.06783132839519142,-39.65522775424659,77.77777777777779,0.9435439358408514,18,-0.10684287787291731
10,1.0,-9.557300684685652,-0.12360358360191122,-0.1067538438882839,-33.831006277501146,68.42105263157895,0.9743281796333042,38,-0.14508765481187644
10,2.5,2.6503328156359567,-0.13863804212566794,-0.025595955013413888,-7.487004992826769,100.0,inf,1,0.17620225704845272
30,1.5,-16.009082082462083,-0.23670460220237893,-0.17768980070700705,-41.99202381705449,66.66666666666666,0.7638750428607548,12,-0.19932092002347276
50,1.5,-17.75284168810278,-0.25315183908594935,-0.20012517170187435,-38.737218502748064,50.0,0.6093140644243992,8,-0.2408023777239881
30,2.5,-13.72656012858155,-0.2553451207383568,-0.15325224282233427,-24.78047371226017,20.0,0.40323669123601635,5,-0.2877512075451021
30,2.0,-16.458349428174188,-0.2750635097808642,-0.18035247291881829,-35.932647827424894,50.0,0.6478429545467197,8,-0.23977599403628952
50,1.0,-20.11292229683264,-0.27795382310404354,-0.2306707515653935,-42.71209967789836,63.63636363636363,0.6673841987900828,11,-0.24913491176452496
10,1.5,-17.592798200058386,-0.297004333247013,-0.22530916993301742,-35.18021408358508,65.38461538461539,0.7450003442067511,26,-0.26263788613344047
20,2.5,-14.422628620796093,-0.3193612666353644,-0.1769431802372305,-30.26742031241258,50.0,0.4932086896116012,6,-0.24801531181966235
50,2.0,-24.69927607281933,-0.4024657487425,-0.30840224707221037,-35.34187486515847,20.0,0.15475693179446542,5,-0.37489047773386486
10,2.0,-18.788587940938207,-0.407716918742115,-0.23565070140335057,-32.658953876862434,69.23076923076923,0.5978334269136079,13,-0.30319153360324785
